gap_type,alpha,xmin_s,xmin_h
global,1.949891,1357.000000,0.376944
global,1.460831,220.000000,0.061111
global,2.315895,14341.000000,3.983611
global,5.008338,55593.000000,15.442500
global,4.052429,59406.000000,16.501667
global,1.382093,77.000000,0.021389
global,5.610412,86515.000000,24.031944
global,1.654597,3005.000000,0.834722
global,1.370359,118.000000,0.032778
global,1.818411,11379.000000,3.160833
global,1.725370,160.000000,0.044444
global,2.144395,11644.000000,3.234444
global,1.271820,52.000000,0.014444
global,1.731221,400.000000,0.111111
global,2.229073,26501.000000,7.361389
global,1.708918,5312.000000,1.475556
global,1.849099,3972.000000,1.103333
global,1.551939,158.000000,0.043889
global,10.542369,10009.000000,2.780278
global,1.401490,25.000000,0.006944
global,1.684546,2283.000000,0.634167
global,1.678429,5860.000000,1.627778
global,2.783256,20027.000000,5.563056
global,1.319480,72.000000,0.020000
global,1.561394,27.000000,0.007500
global,5.923782,76626.000000,21.285000
global,4.069261,42732.000000,11.870000
global,2.672800,44504.000000,12.362222
global,1.358064,256.000000,0.071111
global,1.288904,31.000000,0.008611
global,1.688062,2.000000,0.000556
global,1.507008,171.000000,0.047500
global,5.158813,68095.000000,18.915278
global,1.478759,1982.000000,0.550556
global,2.976474,43553.000000,12.098056
global,1.680324,1674.000000,0.465000
global,1.747963,2112.000000,0.586667
global,3.596814,67561.000000,18.766944
global,1.796156,263.000000,0.073056
global,1.606055,766.000000,0.212778
global,1.330551,120.000000,0.033333
global,3.247773,20315.000000,5.643056
global,1.417874,105.000000,0.029167
global,2.075561,16091.000000,4.469722
global,3.005933,21253.000000,5.903611
global,4.039173,51011.000000,14.169722
global,1.496967,497.000000,0.138056
global,1.918948,6216.000000,1.726667
global,3.327734,30970.000000,8.602778
global,2.024265,18719.000000,5.199722
global,1.897332,5682.000000,1.578333
global,2.099988,7871.000000,2.186389
global,1.840906,822.000000,0.228333
global,3.199332,47779.000000,13.271944
global,6.404767,50691.000000,14.080833
global,1.751459,2161.000000,0.600278
global,1.967910,16509.000000,4.585833
global,1.728514,2932.000000,0.814444
global,3.085032,31043.000000,8.623056
global,3.889798,25726.000000,7.146111
global,2.358348,8700.000000,2.416667
global,1.482148,1007.000000,0.279722
global,1.327085,189.000000,0.052500
global,1.732144,303.000000,0.084167
global,6.090338,31315.000000,8.698611
global,1.300959,5.000000,0.001389
global,3.393504,451.000000,0.125278
global,1.935897,4232.000000,1.175556
global,1.215870,10.000000,0.002778
global,1.956911,8104.000000,2.251111
global,5.880826,73261.000000,20.350278
global,3.476211,49318.000000,13.699444
global,2.181965,6297.000000,1.749167
global,1.634488,160.000000,0.044444
global,1.545789,457.000000,0.126944
global,1.962552,4077.000000,1.132500
global,1.943449,3061.000000,0.850278
global,20.390419,11563.000000,3.211944
global,1.314388,21.000000,0.005833
global,2.038395,3677.000000,1.021389
global,6.682548,73715.000000,20.476389
global,1.332984,70.000000,0.019444
global,3.082052,40664.000000,11.295556
global,1.334862,79.000000,0.021944
global,1.312876,2.000000,0.000556
global,1.656984,3060.000000,0.850000
global,1.571003,345.000000,0.095833
global,2.289914,4651.000000,1.291944
global,1.586742,1439.000000,0.399722
global,1.543466,874.000000,0.242778
global,2.116472,7371.000000,2.047500
global,1.417310,90.000000,0.025000
global,2.644003,35965.000000,9.990278
global,3.747593,34671.000000,9.630833
global,1.488487,150.000000,0.041667
global,2.203313,12241.000000,3.400278
global,1.894062,2839.000000,0.788611
global,1.322056,116.000000,0.032222
global,1.533168,2691.000000,0.747500
global,1.319159,73.000000,0.020278
global,2.001809,15833.000000,4.398056
global,1.296457,54.000000,0.015000
global,9.613974,69595.000000,19.331944
global,1.268259,26.000000,0.007222
global,1.648870,2180.000000,0.605556
global,1.855009,15.000000,0.004167
global,2.504655,41894.000000,11.637222
